"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"1","B02512",155,2015,1,1,0,"Manhattan","TriBeCa/Civic Center","11201","2015/1/1 0:51",28,"N/A",""
"2","B02512",171,2015,1,1,1,"Manhattan","Penn Station/Madison Sq West","10001","2015/1/1 1:51",28,"N/A",""
"3","B02512",189,2015,1,1,2,"Manhattan","Midtown East","10022","2015/1/1 2:51",27,"N/A",""
"4","B02512",130,2015,1,1,3,"Brooklyn","Fort Greene","11205","2015/1/1 3:51",27,"N/A",""
"5","B02512",65,2015,1,1,4,"Manhattan","East Chelsea","10011","2015/1/1 4:51",27,"N/A",""
"6","B02512",28,2015,1,1,5,"Manhattan","Lincoln Square West","10023","2015/1/1 5:51",27,"N/A",""
"7","B02512",22,2015,1,1,6,"Manhattan","Penn Station/Madison Sq West","10001","2015/1/1 6:51",27,"N/A",""
"8","B02512",11,2015,1,1,7,"Brooklyn","Prospect-Lefferts Gardens","11225","2015/1/1 7:51",27,"N/A",""
"9","B02512",7,2015,1,1,8,"Queens","Steinway","11105","2015/1/1 8:51",28,"N/A",""
"10","B02512",13,2015,1,1,9,"Queens","Astoria","11102","2015/1/1 9:51",30,"N/A",""
"11","B02512",22,2015,1,1,10,"Manhattan","Times Sq/Theatre District","10036","2015/1/1 10:51",30.9,"N/A",""
"12","B02512",18,2015,1,1,11,"Queens","Forest Hills","11375","2015/1/1 11:51",33.1,"N/A",""
"13","B02512",34,2015,1,1,12,"Manhattan","Sutton Place/Turtle Bay North","10022","2015/1/1 12:51",35.1,"N/A",""
"14","B02512",37,2015,1,1,13,"Manhattan","Central Park","10019","2015/1/1 13:51",37,"N/A",""
"15","B02512",26,2015,1,1,14,"Manhattan","Lenox Hill East","10065","2015/1/1 14:51",37.9,"N/A",""
"16","B02512",43,2015,1,1,15,"Manhattan","Kips Bay","10016","2015/1/1 15:51",39,"N/A",""
"17","B02512",45,2015,1,1,16,"Brooklyn","Brooklyn Heights","11201","2015/1/1 16:51",39,"N/A",""
"18","B02512",42,2015,1,1,17,"Brooklyn","Flatbush/Ditmas Park","11226","2015/1/1 17:51",39,"N/A",""
"19","B02512",35,2015,1,1,18,"Queens","East Flushing","11355","2015/1/1 18:51",39,"N/A",""
"20","B02512",47,2015,1,1,19,"Queens","Forest Hills","11375","2015/1/1 19:51",37.9,"N/A",""
"21","B02512",39,2015,1,1,20,"Queens","East Elmhurst","11371","2015/1/1 20:51",37.9,"N/A",""
"22","B02512",39,2015,1,1,21,"Manhattan","Central Park","10019","2015/1/1 21:51",37.9,"N/A",""
"23","B02512",34,2015,1,1,22,"Manhattan","TriBeCa/Civic Center","11201","2015/1/1 22:51",37.9,"N/A",""
