"","Dispatching_base_num","numOutput","year","month","day","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events","workDay"
"1","B02512",2550,2015,1,1,"Manhattan","East Chelsea","10011","2015/1/1",33,"0","",1
"2","B02512",933,2015,1,2,"Queens","LaGuardia Airport","11371","2015/1/2",39,"0","",1
"3","B02512",1157,2015,1,3,"Manhattan","Upper East Side North","10075","2015/1/3",38,"0.71","Rain-Snow",0
"4","B02512",848,2015,1,4,"Manhattan","Clinton West","10019","2015/1/4",49,"0.3","Rain",0
"5","B02512",1063,2015,1,5,"Brooklyn","Prospect Heights","11238","2015/1/5",35,"0","",1
"6","B02512",1399,2015,1,6,"Manhattan","Lincoln Square East","10023","2015/1/6",21,"0.05","Snow",1
"7","B02512",1532,2015,1,7,"Manhattan","West Village","10014","2015/1/7",16,"0","",1
"8","B02512",1907,2015,1,8,"Manhattan","Murray Hill","10016","2015/1/8",15,"0","",1
"9","B02512",1713,2015,1,9,"Manhattan","Lower East Side","10002","2015/1/9",26,"0.07","Snow",1
"10","B02512",1810,2015,1,10,"Manhattan","Little Italy/NoLiTa","10012","2015/1/10",20,"0","",0
"11","B02512",1255,2015,1,11,"Manhattan","Financial District North","10005","2015/1/11",28,"0","",0
"12","B02512",1530,2015,1,12,"Manhattan","Upper East Side North","10075","2015/1/12",37,"0.36","Rain",1
"13","B02512",1800,2015,1,13,"Manhattan","Financial District South","10005","2015/1/13",27,"0","",1
"14","B02512",1720,2015,1,14,"Manhattan","East Village","10009","2015/1/14",24,"0","",1
"15","B02512",1753,2015,1,15,"Queens","LaGuardia Airport","11371","2015/1/15",30,"0","",1
"16","B02512",1630,2015,1,16,"Manhattan","Financial District South","10005","2015/1/16",32,"0","",1
"17","B02512",1382,2015,1,17,"Manhattan","East Village","10009","2015/1/17",25,"0","",0
"18","B02512",1677,2015,1,18,"Manhattan","East Harlem North","10029","2015/1/18",37,"2.1","Fog-Rain",0
"19","B02512",1129,2015,1,19,"Queens","LaGuardia Airport","11371","2015/1/19",39,"0","",1
"20","B02512",1411,2015,1,20,"Manhattan","East Chelsea","10011","2015/1/20",36,"0","",1
"21","B02512",1612,2015,1,21,"Manhattan","Meatpacking/West Village West","10013","2015/1/21",31,"0","",1
"22","B02512",1665,2015,1,22,"Manhattan","Sutton Place/Turtle Bay North","10022","2015/1/22",36,"0","",1
"23","B02512",1809,2015,1,23,"Manhattan","Times Sq/Theatre District","10036","2015/1/23",34,"0","",1
"24","B02512",1740,2015,1,24,"Manhattan","Lower East Side","10002","2015/1/24",36,"0.72","Fog-Rain-Snow",0
"25","B02512",1312,2015,1,25,"Manhattan","Midtown Center","10176","2015/1/25",37,"0","",0
